Title,Payment,Job type,Experience / Level,Description
"Створення, верстання та адміністрування web-сайтів.",,"['Remote', 'Full-time', 'Part-time']",,"Пропоную послуги створення та адміністрування веб-сайтів на популярніх системах CMS, або верстальщика фронтенду чи бекенду будь-якої системи управління сайтом або без такової, використовуючи сучасний фронтенд фреймоворк UIkit 3.Приклад роботи: http://masterscity.abuyfile.com/"
Переклад текстів з української/російської на англійську і навпаки,['Yes'],"['Remote', 'Part-time']",['No experience'],Наразі навчаюсь в університеті на спеціальності філологія . Хочу отримати досвід роботи в сфері перекладів. Знаю англійську на рівні В1.2. Відповідальна та пунктуальна.
Переклад текстів на українську / англійську мову / російську,['Yes'],"['Remote', 'Full-time', 'Part-time']","['No experience', 'Junior']",
Перекладач технічний,['Yes'],"['Remote', 'Part-time']",['Senior'],
Шукаю підробіток,['Yes'],"['Remote', 'Part-time', 'Contract']","['Junior', 'Middle', 'Senior']","Чим можу бути корисна? Створення макетів: - для постів, сторіз, хайлайтс; - банери на сайти, фб і т.д.; - візитки; листівки; флаєра.Працюю в Canva, Crello, Photoshop.Також можу писати тексти для соцмереж.Буду рада співпраці. Приклади робіт відправлю додатково."
Перекладач текстів,['Yes'],"['Remote', 'On-site / At the office', 'Full-time', 'Part-time']",['Junior'],Хочу знайти роботу переклад текстів. Дуже швидко набираю тексти
Креативний дизайнер / Арт-директор,"['Yes', 'No']","['Remote', 'On-site / At the office', 'Full-time', 'Part-time', 'Contract']","['Senior', 'TOP']","Маю величезний досвід в галузі діджитал та поліграфічного дизайну , реклами, створення фірмового стилю, айдентики, супровід бізнесу візуальною складовою. Ведення соціальних мереж. Брендінг та його супровід і підтримка як креативний директор. Веб дизайн. Навички викладача курсу графічний дизайн. Чудове розуміння потреб та їх реалізацій в роботі з клієнтами. Здобув 8 виграшів міжнародних тендерах на оформлення івентів компаній, якими є Danone, Oriflame, Ukrsibbank 5 років поспіль. Навички роботи в команді, керування нею для вирішення завдань проєктів. Чудові знання графічного програмного забезпечення. Генерація креативних ідей, як візуальних так і текстових змістових пропозицій. Досягнення поставлених цілей шляхом розумного користування 10 річного досвіду;) Дякую за увагу. На зв‘язку…) Слава Україні!"
Двоє американських парамедиків шукають волонтерських можливостей,['No'],"['On-site / At the office', 'Contract']",['TOP'],
UI/UX Designer,"['Yes', 'No']","['Remote', 'Full-time', 'Part-time', 'Contract', 'Shifts']",['No experience'],"Добрий день, я пройшла курси з Adobe Photoshop та Figma. Розробляла логотипи та хайлайтси для Інстаграму, створювала дизайн на мобільну версію магазину та концепти дизайну сайтів. Буду рада співпрацювати. Моє портфоліо : https://www.behance.net/ananasikc5e3fa"
Обробка фото / фотошоп /фоторедактор,['Yes'],"['Remote', 'Contract']",['Middle'],"Маю досвід в ретуші та обробці фото на телефоні! Швидко та якісно ви отримаєте свої фото вже в ідеальнову вигляді! Працюю з програмами Airbrash,SCRL,Lightleap,Adobe та інші.Оплата залежить від кількості фото і що саме ви бажаєте!"
Переклад текстів з німецької на українську,['Yes'],"['Remote', 'Part-time']",['Middle'],
Переклад текстів,['Yes'],"['Remote', 'Full-time']",['Middle'],
Junior Front End / Full Stack Developer шукаю роботу,"['Yes', 'No']","['Remote', 'Full-time', 'Part-time', 'Contract']",['Junior'],"Маю досвід розробки з використанням технологій HTML, CSS, JavaScript, TypeScript, React, Redux, Node.js.Розгляну пропозицію віддаленої роботи або виконаю окремі замовлення."
Переклад текстів з англійської та польської,"['Yes', 'No']","['Remote', 'Part-time', 'Contract']",['Middle'],
"Керівник, директор ресторану, мережі, комплексу відпочинку.",['Yes'],"['On-site / At the office', 'Full-time', 'Contract']",['TOP'],"Керівник підприємств-готелів та ресторанів..-1*Коротко про себе: я Вікторія, мені 35 роки, і я керуючий. Це якщо коротко. А якщо детальніше, то у мене є ще 17 років досвіду в ресторанній індустрії, про що ви можете дізнатися з мого резюме. З них, на позиції офіціант 1 рік, бармен 3 роки, адміністратор 2 роки, заступник директора 5 років, керуючий 5 років, консультант — аудитор 1,5 роки. Кожен мій досвід був особливим, а ось основна стратегічна мета одна – зробити об’єкт прибутковим. Моя мета зайти  роботу в компанії з індивідуальним стилем, де будуть розділяти мої цінності ( гостинність, команда, якість у всьому).  Це може бути ресторан, мережа закладів, готель, або заміський комплекс,  головне щоб любити людей, тому що модель «бізнес для бізнесу» - це не для мене.Маючи здатність перемагати, вчитися та підвищувати кваліфікацію, прагну оточити себе людьми які хочуть робити те саме – створити стабільну потужність з унікальним продуктом.""""Основним ресурсом компанії є люди, які в ній працюють. Тому розвиток цього ресурсу – одне з основних стратегічних завдань. Дефіцит кваліфікованих людей настільки великий, що для багатьох є основним фактором, що стримує розвиток компанії."""
"Маю навички роботи в "" Adobe Photoshop"", ""Adobe Illustrator""",['Yes'],"['Remote', 'Part-time', 'Contract']","['Junior', 'Middle']","Створення банерів, листівок, запрошень, визитівок в ""Adobe Illustrator"", ""Adobe Photoshop"" ✅Створення візуалу для соц.мереж ( пости, сторіз ) ✅Написання текстів для instagram/twiter/facebook , комунікація з кліентами ✅"
Редактор,['Yes'],"['Remote', 'Part-time', 'Contract']",['Middle'],
Переклад з англійської на українську мову,['Yes'],"['Remote', 'Part-time', 'Contract']",['Middle'],
Перекладаю тексти з української на англійську та польську мови,['Yes'],"['Remote', 'Part-time']",['Junior'],
3d-Візуалізатор,['Yes'],"['Remote', 'On-site / At the office', 'Full-time', 'Part-time', 'Contract', 'Shifts']",['Middle'],3d-візуалізація інтер‘єру3dMax+Corona/V-Ray+Photoshop Портфоліо https://www.behance.net/mariadunduk
Програміст (C/C++/Python),"['Yes', 'No']","['Remote', 'Part-time', 'Contract']",['Junior'],"Програміст-самоучка. Маю досвід роботи над класичними застосунками самостійно і в невеликій команді. Загальний професійний досвід - рік.Відмінно знаю C, C++, Python, CMakeПрацював на EmbeddedПотроху знаю усього з різних галузей ITГітхаб: github.com/kyrylo-sovailo"
"Переклад текстів на англійську, українську, польську мову",['Yes'],"['Remote', 'Part-time']",['Middle'],
Junior Front-End developer,['Yes'],"['Remote', 'On-site / At the office', 'Full-time', 'Part-time']",['Junior'],"Я Junior Front-End розробник. Я зосереджуюсь на HTML5, CSS3, SCSS, JavaScript. Шукаю віддалену роботу або постійну роботу в офісі. Для мене важливий розвиток, практика і робота на результат."
Переклад текстів на українську / російську / англійську мову,['Yes'],"['Remote', 'Part-time']",['No experience'],"Можу перекладати різноманітні тексти, маю високий рівень володіння українською мовою та російською, середній рівень володіння англійською мовою"
Менеджер з продажу/менеджер інтернет-магазину,['Yes'],"['Remote', 'On-site / At the office', 'Full-time']",['Junior'],"Вітаю!Терміново шукаю роботу роботу менеджером з продажів/менеджером інтернет-магазину. Є досвід в офлайн-продажах, хороші знання англійської та німецької, вміння працювати з усіма основними офісними програмами. Якщо чогось не вмію, то дуже швидко навчуся."
Перекладач/секретар/копірайтер,['Yes'],"['Remote', 'Full-time', 'Part-time']",['Middle'],
